,feature,feature_importance
94,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_2",0.12090937765922537
95,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_3",0.10524443032197604
96,MIRAMAR_wap_delta_3,0.09837917250962058
97,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_1",0.09065214724544002
98,"MIRAMAR_diff(MIRAMAR_wap, MIRAMAR_mid)_delta_3",0.07375361585520114
99,SANHOK_wap_delta_2,0.05199035382737629
100,"SANHOK_diff(SANHOK_wap, SANHOK_mid)_delta_2",0.045061525043928345
101,MIRAMAR_mid_delta_3,0.04229733351619046
102,SANHOK_mid_delta_2,0.039019569718942625
103,SANHOK_mid_delta_1,0.01069484870924085
